Wall time,Step,Value
1763364637.1953487,761856,-2.48553204536438
1763364644.726083,763904,-2.4898300170898438
1763364652.9172232,765952,-2.4907960891723633
1763364661.2840102,768000,-2.489767074584961
1763364668.832994,770048,-2.489841938018799
1763364677.172846,772096,-2.4872629642486572
1763364685.4996448,774144,-2.4900639057159424
1763364693.0081232,776192,-2.490319013595581
1763364701.4134398,778240,-2.486825942993164
1763364709.4128964,780288,-2.4868900775909424
1763364717.179119,782336,-2.487307071685791
1763364725.46641,784384,-2.486064910888672
1763364733.0880666,786432,-2.4848999977111816
1763364741.086472,788480,-2.4904420375823975
1763364749.3839824,790528,-2.4873619079589844
1763364756.9013553,792576,-2.4885730743408203
1763364765.2376292,794624,-2.48957896232605
1763364773.546064,796672,-2.489619016647339
1763364781.0140142,798720,-2.4901390075683594
1763364789.3473527,800768,-2.489164113998413
1763364797.6491323,802816,-2.4896469116210938
1763364805.123317,804864,-2.489398956298828
1763364813.4143138,806912,-2.487257957458496
1763364821.3790326,808960,-2.489501953125
1763364829.2408707,811008,-2.487445116043091
1763364837.4965582,813056,-2.4906980991363525
1763364844.9067295,815104,-2.4897139072418213
1763364852.996718,817152,-2.490156888961792
1763364861.3170495,819200,-2.489530086517334
1763364868.7354476,821248,-2.4911210536956787
1763364876.9613826,823296,-2.4910190105438232
1763364885.2593448,825344,-2.4904630184173584
1763364892.687792,827392,-2.49088191986084
1763364900.9372551,829440,-2.489716053009033
1763364908.9461157,831488,-2.4872419834136963
1763364916.7644658,833536,-2.4876060485839844
1763364925.0173347,835584,-2.4873499870300293
1763364932.6321578,837632,-2.4904909133911133
1763364940.7673311,839680,-2.4872450828552246
1763364949.0932553,841728,-2.4872629642486572
1763364956.6342788,843776,-2.4874019622802734
1763364964.772483,845824,-2.487412929534912
1763364973.1200054,847872,-2.4874989986419678
1763364980.5685668,849920,-2.4902429580688477
1763364988.889925,851968,-2.491163969039917
1763364997.208354,854016,-2.4904799461364746
1763365004.7622707,856064,-2.4909451007843018
1763365013.1469126,858112,-2.4914309978485107
1763365021.0533488,860160,-2.4917829036712646
1763365028.8324225,862208,-2.4895811080932617
1763365037.2136574,864256,-2.490762948989868
1763365044.7669253,866304,-2.4912519454956055
1763365052.847994,868352,-2.49104905128479
1763365061.1941578,870400,-2.490731954574585
1763365068.720216,872448,-2.490938901901245
1763365076.9201925,874496,-2.490051031112671
1763365085.2235339,876544,-2.490873098373413
1763365092.7351537,878592,-2.490438938140869
1763365101.0302684,880640,-2.4894070625305176
1763365109.305826,882688,-2.4905340671539307
1763365116.8740578,884736,-2.49007511138916
1763365125.1986935,886784,-2.490377902984619
1763365133.117017,888832,-2.4910030364990234
1763365140.9068086,890880,-2.4896090030670166
1763365149.2252731,892928,-2.4907350540161133
1763365156.716856,894976,-2.4892799854278564
1763365164.8160853,897024,-2.490272045135498
1763365173.0870075,899072,-2.490262031555176
1763365180.6282125,901120,-2.4903900623321533
1763365188.958251,903168,-2.491241931915283
1763365197.2198868,905216,-2.4888319969177246
1763365204.6916485,907264,-2.4886059761047363
1763365213.0284,909312,-2.488926887512207
1763365221.1413355,911360,-2.4897100925445557
1763365228.7442389,913408,-2.488874912261963
1763365237.0093348,915456,-2.489240884780884
1763365244.8371036,917504,-2.486182928085327
1763365252.8941922,919552,-2.4895060062408447
1763365261.218288,921600,-2.488831043243408
1763365268.6216788,923648,-2.4866960048675537
1763365276.873644,925696,-2.489574909210205
1763365285.1556726,927744,-2.4870989322662354
1763365292.6798646,929792,-2.490709066390991
1763365300.9690447,931840,-2.4867799282073975
1763365309.3274062,933888,-2.4877169132232666
1763365316.7739632,935936,-2.488262891769409
1763365324.981937,937984,-2.488347053527832
1763365332.9216337,940032,-2.4894840717315674
1763365340.6537142,942080,-2.487795114517212
1763365349.0603578,944128,-2.4875099658966064
1763365356.6730888,946176,-2.486999988555908
1763365364.7616038,948224,-2.487380027770996
1763365373.118415,950272,-2.4857230186462402
1763365380.6052248,952320,-2.486198902130127
1763365388.8791623,954368,-2.486284017562866
1763365397.3155007,956416,-2.485645055770874
1763365404.8147376,958464,-2.4908790588378906
1763365413.0765615,960512,-2.486236095428467
1763365421.2202706,962560,-2.4853720664978027
1763365428.8457813,964608,-2.4909729957580566
1763365437.0949829,966656,-2.485482931137085
1763365444.856365,968704,-2.4874210357666016
1763365452.6885157,970752,-2.4855239391326904
